"id","authors","year","title","WI","number","version","media","comment","newname","publisher","subtitle","publishdate","pagecount","category","language","sale","price","currency","mature","isbn10","isbn13","matching"
532,"Ottmann, Thomas (Hrsg.)",0,"Prinzipien des Algorithmenentwurfs",24,1,"b","","","Prinzipien des Algorithmenentwurfs",NA,"[die Realisierung dieses Produkts wurde im Rahmen des MEDOC-Projekts unter dem Titel ""Multimediale Aufbereitung des Gebietes Algorithmen und Datenstrukturen"" (Forderkennzeichen 08C5825 0) vom BMBF gefordert]. Buch","1998","228",NA,"de","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"2"
533,"Godart, C.",0,"Database for software engineering",13,389,"","","","Database Design and Software Engineering",NA,NA,"1978",NA,NA,"en","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"2"
534,"Nye, Adrian",0,"XIib Programming Manual",11,446,"1","","","HTML und das World Wide Web",NA,NA,"1995","202",NA,"en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3930673347","9783930673346","4"
535,"Gibbons, Alan",0,"Efficient parallel algorithms",19,63,"a","","","Efficient Parallel Algorithms","Cambridge University Press",NA,"1989-11-24","259","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","0521388414","9780521388412","0"
536,"Cattell, Roderick",0,"Object data management",15,306,"c","","","Object Data Management","Addison-Wesley","Object-Oriented and Extended Relational Database Systems","1994","389","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"0"
537,"BrandstÃ_dt, Andreas",0,"Graphen und Algorithmen",15,321,"","","","Graphen und Algorithmen","Springer-Verlag",NA,"2013-03-09","264","Technology & Engineering","de","FOR_SALE","36.99","EUR","NOT_MATURE",NA,"9783322946898","2"
539,"Wagner, Klaus W.",1994,"EinfÃ_hrung in die Theoretische Informatik",11,262,"","","","Einfuhrung in die theoretische Informatik","Springer-Verlag New York Incorporated","Grundlagen und Modelle","1994","238","Computers","de","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3540581391","9783540581390","4"
540,"Parberry, Ian",0,"Circuit complexity and neural networks",11,230,"","","","Circuit Complexity and Neural Networks","MIT Press",NA,"1994","270","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","0262161486","9780262161480","0"
542,"Subrahmanian, V.S.",0,"Multimedia Database Systems",15,377,"","","","Principles of Multimedia Database Systems","Morgan Kaufmann Pub",NA,"1998","442","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","1558604669","9781558604667","0"
543,"Kopka, Helmut",2000,"Latex Bd. 1: EinfÃ_hrung (3 Aufl.)",14,241,"1i","","","Guide to LaTeX (Adobe Reader)","Pearson Education",NA,"2003-11-25","624","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","0321617746","9780321617743","3"
544,"Luft, A. L.",0,"Informatik eine moderne Wissenstechnik",10,145,"","","","Informatik - Eine Moderne Wissenstechnik",NA,NA,"1994-01-01",NA,NA,"de","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3860255363","9783860255360","2"
546,"Kneuper, Ralf (Hrsg.)",0,"Vorgehensmodelle fÃ_r die betriebliche Anwendungsentwicklung",11,624,"","","","Vorgehensmodelle fur die betriebliche Anwendungsentwicklung","Springer-Verlag",NA,"2013-04-17","305","Technology & Engineering","de","FOR_SALE","39.99","EUR","NOT_MATURE",NA,"9783663059943","2"
547,"Delobel, Claude",0,"Databases: fram Relational to Object-Oriented Systems",15,324,"","","","Object Oriented Databases",NA,"A Semantic Data Model Approach","1992-01-01","237","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"2"
549,"Karagiannis, Dimitris",0,"Database and Expert Systems Applications",90,856,"","LNCS","","Database and Expert Systems Applications",NA,"5th International Conference, DEXA '94, Athens, Greece, September 7-9, 1994 : Proceedings","1994","807","Artificial intelligence","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","0387584358","9780387584355","0"
550,"Szepietowski, Andrzej",0,"Turing Machines with Sublogarithmic Space",90,843,"","LNCS","","Turing Machines with Sublogarithmic Space","Springer Science & Business Media",NA,"1994-08-29","114","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3540583556","9783540583554","0"
551,"Gogolla, Martin",0,"An Extended Entity-Relationship Model",90,767,"b","LNCS","","An extended entity-relationship model","Springer Verlag","fundamentals and pragmatics","1994-01","136","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"0"
